CASEID,jsr_02,jsr_07,jsr_08,jsr_09,jsr_10,wdr_02,wdr_06,wdr_07,wdr_09,wdr_10,sfc_01,sfc_07,sfc_08,tmg_01,tmg_03
1,6,6,6,6,6,6,6,96,6,6,6,96,96,5,1
2,2,2,2,1,1,2,2,2,2,2,3,4,5,5,3
3,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
5,2,2,3,2,5,1,1,3,2,2,3,5,5,3,2
6,6,6,6,2,2,6,6,96,6,6,6,96,96,3,4
7,2,2,2,2,2,2,2,2,3,2,3,4,3,5,3
8,2,3,3,2,2,2,3,2,2,2,4,4,3,4,2
9,2,1,2,2,2,2,2,3,4,3,1,4,4,2,3
10,1,1,1,1,2,2,1,1,3,2,1,5,5,5,1
11,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
12,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
13,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
14,2,2,2,2,2,2,2,3,2,2,2,3,4,4,2
15,1,1,1,2,1,1,1,1,1,1,1,4,4,5,1
16,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
17,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
18,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
19,2,1,4,2,1,2,2,2,3,1,2,5,5,4,2
20,2,2,1,1,1,1,1,1,1,1,1,5,5,5,1
21,1,1,1,1,1,1,1,1,1,1,1,5,5,2,2
22,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
23,6,6,6,6,6,6,6,96,6,6,6,96,96,5,1
24,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
25,6,6,6,2,2,6,6,96,6,6,6,96,96,2,3
26,3,2,4,3,2,1,2,1,1,2,2,4,4,3,3
27,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
28,5,5,5,4,2,3,1,4,5,5,2,5,4,4,4
29,2,2,2,2,2,2,2,2,2,2,2,5,4,3,3
30,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
31,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
32,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
33,2,2,2,3,2,2,2,3,4,4,2,4,4,4,2
34,2,1,5,3,1,3,3,5,5,1,3,5,3,5,3
35,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
36,2,2,2,2,1,1,1,3,1,2,1,3,5,4,2
37,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
38,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
39,1,1,1,1,2,2,2,1,2,1,3,4,3,2,2
40,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
41,2,2,2,2,1,2,1,1,2,1,1,5,5,3,2
42,2,1,2,2,2,2,3,2,3,2,2,5,4,4,1
43,2,2,3,2,2,2,2,3,3,2,3,4,3,3,2
44,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
45,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
46,2,2,2,2,1,2,2,2,2,2,1,5,5,2,4
47,6,6,6,6,6,6,6,96,6,6,6,96,96,5,2
48,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
49,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
50,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
51,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
52,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
53,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
54,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
55,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
56,1,3,2,2,2,2,2,2,4,2,3,4,4,3,2
57,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
58,6,6,6,6,6,6,6,96,6,6,6,96,96,5,4
59,2,2,2,5,1,4,3,4,2,2,1,3,4,1,1
60,1,1,1,2,2,2,3,2,2,2,2,5,4,4,2
61,6,6,6,1,1,6,6,96,6,6,6,96,96,5,2
62,1,1,1,1,1,1,1,1,1,1,2,4,4,5,1
63,1,1,1,2,1,1,2,2,3,2,1,5,4,5,1
64,2,2,2,3,3,6,2,2,4,2,2,5,4,2,3
65,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
66,2,2,3,3,3,4,6,3,2,2,2,5,3,3,3
67,1,1,2,2,2,2,2,4,2,1,2,4,5,4,1
68,1,2,2,2,2,6,6,6,2,2,1,5,6,3,2
69,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
70,2,1,2,2,2,2,1,2,3,1,1,3,4,4,2
71,2,2,2,2,1,2,2,2,2,1,1,2,2,2,3
72,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
73,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
74,1,2,2,1,1,2,1,1,2,1,1,5,3,4,2
75,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
76,6,6,6,1,1,6,6,96,6,6,6,96,96,3,1
77,1,1,2,2,1,2,6,6,2,2,1,6,5,5,1
78,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
79,1,2,4,3,3,3,2,4,4,1,2,3,5,3,2
80,6,6,6,6,6,6,6,96,6,6,6,96,96,4,1
81,3,2,2,1,1,2,2,4,4,2,1,5,5,7,7
82,6,6,6,6,6,6,6,96,6,6,6,96,96,3,2
83,4,5,5,3,1,3,3,3,5,4,4,3,5,3,4
84,6,6,6,1,1,6,6,96,6,6,6,96,96,3,1
85,1,1,1,1,1,2,1,1,1,1,2,5,5,5,1
86,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
87,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
88,6,6,6,2,1,6,6,96,6,6,6,96,96,3,2
89,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
90,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
91,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
92,2,3,2,3,1,2,1,1,2,2,4,5,5,4,4
93,1,2,2,2,1,2,2,2,2,1,1,4,4,3,2
94,2,2,2,1,1,2,2,2,2,2,1,5,5,5,1
95,2,2,2,2,1,1,1,1,1,2,1,5,5,3,2
96,1,1,1,1,1,1,1,1,1,3,2,5,5,4,1
97,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
98,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
99,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
100,2,2,2,2,2,2,2,1,3,2,3,4,4,3,4
101,2,2,2,2,2,2,2,1,1,1,2,5,4,5,1
102,2,2,2,2,2,1,2,1,2,2,3,5,4,3,2
103,1,1,1,2,1,2,1,1,2,2,1,5,5,3,2
104,1,1,1,2,2,2,2,1,2,2,3,5,5,4,1
105,1,3,2,2,2,6,3,6,3,1,1,4,4,2,2
106,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
107,1,3,1,1,1,3,2,1,1,1,3,3,3,3,1
108,2,1,2,2,1,1,1,3,5,1,1,5,4,4,1
109,6,6,6,2,1,6,6,96,6,6,6,96,96,2,4
110,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
111,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
112,6,6,6,1,1,6,6,96,6,6,6,96,96,4,1
113,1,1,2,2,2,1,1,1,1,1,3,5,5,3,2
114,2,1,2,2,2,2,2,2,3,2,1,4,4,3,3
115,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
116,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
117,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
118,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
119,1,1,2,2,2,1,1,1,2,3,2,5,4,2,2
120,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
121,1,2,2,3,3,3,1,1,1,1,2,5,4,5,1
122,2,1,2,2,1,2,2,2,3,2,3,4,2,4,2
123,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
124,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
125,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
126,3,3,3,3,3,2,3,2,4,3,4,4,4,3,3
127,1,1,2,1,1,6,6,1,2,3,3,1,6,3,2
128,1,2,1,2,2,2,2,1,1,2,3,4,4,5,2
129,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
130,5,3,4,3,2,1,1,4,3,3,3,2,2,3,2
131,2,1,2,1,1,2,2,2,1,3,2,5,5,5,2
132,1,1,1,1,1,2,2,2,3,1,1,5,5,3,3
133,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
134,2,2,2,2,2,3,3,3,3,3,3,5,4,2,3
135,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
136,2,1,1,2,2,2,6,2,2,1,4,5,6,4,2
137,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
138,6,6,6,6,6,6,6,96,6,6,6,96,96,5,1
139,1,2,2,3,3,2,2,3,3,5,1,4,4,3,4
140,2,2,2,2,1,1,1,1,2,2,3,4,3,4,3
141,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
142,4,3,3,3,3,2,3,2,2,2,4,5,1,4,2
143,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
144,2,1,3,3,3,1,2,3,2,3,1,4,4,3,2
145,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
146,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
147,2,2,2,2,2,2,1,1,2,1,1,4,4,3,2
148,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
149,1,1,2,1,2,1,2,3,4,2,2,5,5,3,3
150,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
151,2,2,3,3,3,3,2,3,4,2,3,4,4,2,2
152,2,2,3,2,2,1,1,4,1,3,1,3,2,3,2
153,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
154,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
155,6,6,6,2,2,6,6,96,6,6,6,96,96,2,4
156,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
157,1,1,1,2,2,1,3,4,2,1,1,5,5,4,2
158,6,6,6,6,6,6,6,96,6,6,6,96,96,4,2
159,9,9,9,9,9,6,9,99,9,9,9,99,99,5,2
160,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
161,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
162,2,2,3,3,3,2,3,3,4,3,1,4,3,3,2
163,2,2,1,2,2,3,3,2,1,1,3,5,5,5,2
164,3,2,3,3,3,2,4,4,3,2,3,2,2,3,3
165,3,3,2,3,2,2,1,2,1,2,2,5,5,4,1
166,6,6,6,6,6,6,6,96,6,6,6,96,96,4,3
167,1,1,1,2,2,2,2,2,2,2,2,5,4,5,2
168,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
169,2,2,2,2,2,3,2,1,2,3,2,5,5,4,2
170,6,6,6,6,6,6,6,96,6,6,6,96,96,5,1
171,2,2,2,1,1,1,1,1,2,2,3,5,5,4,3
172,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
173,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
174,6,6,6,6,6,6,6,96,6,6,6,96,96,5,3
175,6,6,6,2,2,6,6,96,6,6,6,96,96,2,3
176,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
177,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
178,1,1,1,1,1,2,2,1,2,2,3,5,5,4,1
179,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
180,6,6,6,6,6,6,6,96,6,6,6,96,96,5,1
181,2,2,2,2,3,2,3,3,2,2,4,3,6,5,2
182,1,1,2,2,2,6,6,2,2,1,4,5,5,5,1
183,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
184,1,1,2,3,2,2,2,2,2,5,1,5,4,4,1
185,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
186,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
187,1,2,2,2,1,2,2,6,3,1,2,5,5,5,2
188,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
189,6,6,6,2,2,6,6,96,6,6,6,96,96,3,2
190,6,6,6,2,1,6,6,96,6,6,6,96,96,5,1
191,2,4,5,2,2,2,3,3,3,4,1,5,5,5,4
192,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
193,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
194,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
195,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
196,3,3,3,3,2,2,3,3,3,2,3,3,4,3,4
197,2,2,2,2,1,6,6,3,2,2,1,3,6,3,2
198,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
199,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
200,2,1,2,2,1,2,2,2,2,1,2,4,4,3,2
201,1,1,2,2,2,2,1,1,1,1,1,4,4,4,2
202,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
203,1,1,1,1,2,2,2,1,1,2,2,4,4,3,2
204,1,1,2,2,2,6,3,6,3,1,2,5,5,4,1
205,2,2,2,2,1,3,3,4,4,4,2,3,5,4,2
206,1,2,2,2,1,2,2,2,2,3,2,4,3,3,2
207,6,6,6,6,6,6,6,96,6,6,6,96,96,5,1
208,1,1,1,1,1,1,1,1,1,1,1,5,5,4,1
209,2,2,2,1,3,2,1,1,2,1,3,4,3,3,2
210,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
211,5,5,4,4,4,6,2,2,1,2,2,4,4,3,4
212,6,6,6,6,6,6,6,96,6,6,6,96,96,5,7
213,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
214,2,2,2,2,2,2,2,3,3,2,4,5,5,3,3
215,3,2,1,3,1,3,3,6,4,2,3,3,5,2,3
216,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
217,1,2,1,1,1,6,3,2,2,2,3,5,5,4,1
218,6,6,6,6,6,6,6,96,6,6,6,96,96,4,3
219,1,2,3,2,2,2,1,1,2,2,3,5,5,3,3
220,1,3,3,1,1,2,1,1,1,1,3,5,4,4,1
221,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
222,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
223,6,6,6,2,2,6,6,96,6,6,6,96,96,3,3
224,2,2,3,2,2,3,3,2,4,4,2,3,4,3,3
225,6,6,6,1,1,6,6,96,6,6,6,96,96,4,1
226,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
227,6,6,6,6,6,6,6,96,6,6,6,96,96,5,1
228,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
229,2,1,2,2,2,2,1,1,2,1,2,5,4,3,2
230,2,2,2,2,2,2,2,3,5,4,2,3,3,2,4
231,2,2,2,2,1,2,1,1,3,2,2,4,4,3,2
232,2,2,2,2,2,2,1,2,2,2,1,5,5,1,2
233,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
234,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
235,2,1,1,2,1,6,2,1,1,1,2,5,5,5,1
236,1,2,1,2,1,2,1,4,2,1,3,4,4,4,1
237,2,1,2,2,1,6,6,6,1,1,1,5,5,4,1
238,6,6,6,1,1,6,6,96,6,6,6,96,96,4,2
239,1,1,3,1,1,1,1,1,1,1,2,5,5,3,2
240,2,1,1,3,3,2,1,1,5,3,1,5,5,4,1
241,2,1,1,1,1,2,2,2,3,2,2,4,4,5,2
242,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
243,6,6,6,6,6,6,6,96,6,6,6,96,96,5,2
244,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
245,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
246,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
247,6,6,6,6,6,6,6,96,6,6,6,96,96,4,2
248,2,2,2,1,1,2,2,1,2,1,2,5,5,3,2
249,6,6,6,1,1,6,6,96,6,6,6,96,96,3,2
250,6,6,6,6,6,6,6,96,6,6,6,96,96,4,3
251,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
252,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
253,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
254,1,1,1,1,1,1,1,1,2,2,3,5,5,3,2
255,2,2,2,2,2,2,2,3,2,2,4,4,3,4,2
256,2,2,2,2,2,2,2,3,2,2,3,4,4,3,2
257,2,1,1,2,1,1,1,1,3,2,3,5,5,5,3
258,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
259,1,2,1,2,2,2,2,2,2,2,2,5,5,4,1
260,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
261,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
262,2,2,2,2,1,2,4,4,2,2,1,4,5,4,2
263,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
264,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
265,2,2,2,2,2,2,2,3,3,3,2,4,3,3,2
266,6,6,6,6,6,6,6,96,6,6,6,96,96,5,3
267,3,3,3,3,1,1,2,4,3,4,1,3,3,3,2
268,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
269,2,1,2,2,1,2,2,1,4,2,1,5,5,3,2
270,2,1,1,2,2,1,1,1,1,1,2,4,4,5,2
271,1,1,2,1,2,1,1,1,2,1,3,5,3,2,4
272,2,2,2,3,2,2,3,4,3,2,2,4,4,2,3
273,1,1,1,1,1,2,2,2,2,2,2,3,3,5,2
274,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
275,2,2,2,3,3,1,2,4,2,2,2,5,5,3,2
276,6,6,6,6,6,6,6,96,6,6,6,96,96,4,1
277,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
278,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
279,9,9,9,9,9,6,9,99,9,9,9,99,99,3,1
280,3,2,3,3,2,2,5,2,2,2,1,5,2,3,3
281,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
282,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
283,1,1,1,1,1,1,1,1,1,1,1,2,5,3,2
284,2,2,2,3,1,1,1,5,2,2,2,5,5,3,1
285,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
286,1,2,1,1,1,1,1,1,3,2,4,4,4,3,2
287,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
288,6,6,6,2,2,6,6,96,6,6,6,96,96,3,2
289,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
290,2,2,2,2,2,2,2,2,2,2,2,5,5,3,3
291,2,2,2,2,2,2,3,2,4,2,2,4,4,2,2
292,6,6,6,2,1,6,6,96,6,6,6,96,96,4,2
293,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
294,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
295,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
296,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
297,6,6,6,6,6,6,6,96,6,6,6,96,96,1,3
298,2,2,2,1,2,1,1,1,2,2,1,5,4,3,2
299,2,2,2,3,3,2,2,2,2,4,2,4,5,4,2
300,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
301,2,2,2,2,2,2,2,3,2,3,3,5,5,4,2
302,6,6,6,2,2,6,6,96,6,6,6,96,96,3,3
303,6,6,6,6,6,6,6,96,6,6,6,96,96,4,2
304,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
305,4,3,3,3,2,2,4,4,2,1,4,4,5,4,3
306,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
307,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
308,6,6,6,2,1,6,6,96,6,6,6,96,96,5,2
309,1,1,1,2,1,2,1,1,2,1,3,5,5,5,1
310,2,1,2,3,2,2,2,1,2,3,2,4,4,3,2
311,6,6,6,6,6,6,6,96,6,6,6,96,96,5,1
312,2,2,4,4,2,2,2,4,2,3,1,3,4,3,2
313,1,2,1,2,2,2,2,1,2,2,1,5,5,4,3
314,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
315,3,2,4,2,2,2,3,4,3,4,4,3,3,2,4
316,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
317,6,6,6,6,6,6,6,96,6,6,6,96,96,5,1
318,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
319,6,6,6,1,1,6,6,96,6,6,6,96,96,4,1
320,6,6,6,6,6,6,6,96,6,6,6,96,96,4,2
321,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
322,1,2,3,1,1,6,1,2,2,2,2,4,4,5,1
323,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
324,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
325,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
326,4,3,4,4,3,3,4,3,4,3,3,2,2,3,2
327,1,1,1,1,1,1,1,1,1,1,1,5,4,4,2
328,1,1,1,1,1,1,2,2,1,1,2,4,3,4,1
329,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
330,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
331,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
332,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
333,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
334,3,3,3,2,2,3,3,3,3,2,4,4,5,3,3
335,2,3,4,3,3,2,2,2,3,5,3,5,5,5,3
336,6,6,6,6,6,6,6,96,6,6,6,96,96,4,2
337,1,1,1,1,1,1,1,1,1,1,1,4,4,4,2
338,3,2,2,3,3,6,5,2,2,2,2,5,5,2,3
339,2,3,4,3,3,2,2,4,2,2,4,4,4,3,3
340,1,1,2,2,1,1,1,2,2,2,1,5,5,5,1
341,6,6,6,3,2,6,6,96,6,6,6,96,96,3,2
342,6,6,6,6,6,6,6,96,6,6,6,96,96,4,2
343,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
344,1,2,2,1,1,3,2,1,1,4,1,5,5,1,1
345,2,2,2,2,2,2,2,2,2,2,2,5,5,3,3
346,1,2,3,3,1,2,2,3,5,3,3,4,4,3,3
347,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
348,1,1,1,2,2,1,2,2,2,2,1,5,5,4,1
349,2,2,3,3,2,2,2,2,2,2,3,5,4,4,3
350,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
351,5,4,5,3,1,2,2,5,1,4,4,3,2,2,3
352,1,1,1,1,1,2,1,1,2,2,4,4,3,4,2
353,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
354,1,1,1,1,1,2,1,2,1,1,1,5,5,4,2
355,1,1,1,2,2,2,2,1,2,2,3,4,4,3,2
356,2,2,2,2,2,1,1,1,1,1,2,5,5,4,1
357,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
358,1,1,2,2,1,2,2,2,3,1,2,4,4,4,2
359,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
360,4,1,2,3,1,2,1,3,2,2,2,5,4,3,2
361,1,2,3,1,1,4,2,5,4,3,3,2,5,2,2
362,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
363,2,3,2,3,2,1,2,3,2,3,4,5,5,3,2
364,6,6,6,6,6,6,6,96,6,6,6,96,96,5,1
365,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
366,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
367,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
368,2,3,2,3,2,2,2,2,4,2,1,4,4,4,2
369,2,2,2,2,2,1,2,2,2,2,2,4,4,3,2
370,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
371,2,2,2,3,3,2,3,3,2,2,2,5,4,2,4
372,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
373,2,1,1,2,2,2,3,2,1,2,3,5,5,3,1
374,2,2,4,2,3,2,2,2,4,2,2,4,3,4,3
375,1,2,2,1,1,6,1,1,1,2,1,3,4,5,2
376,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
377,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
378,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
379,1,2,2,1,1,2,3,1,2,2,2,5,3,5,2
380,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
381,1,1,2,2,1,2,2,2,2,2,1,5,5,3,2
382,1,1,1,1,1,1,1,1,1,1,2,5,5,5,1
383,2,2,2,3,2,2,3,3,4,2,2,5,5,3,2
384,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
385,2,2,4,2,1,3,3,3,3,2,3,4,3,3,2
386,6,6,6,6,6,6,6,96,6,6,6,96,96,5,2
387,1,1,2,1,1,1,1,1,4,1,1,5,5,4,3
388,5,3,4,4,3,6,4,5,5,4,3,3,4,5,5
389,2,3,2,2,2,4,3,4,4,4,2,5,4,3,2
390,6,6,6,1,1,6,6,96,6,6,6,96,96,5,1
391,1,2,2,2,2,2,6,3,2,3,2,4,4,3,2
392,2,2,3,2,2,2,2,2,1,2,1,5,4,4,1
393,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
394,2,2,2,2,2,2,2,3,3,3,1,4,3,4,2
395,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
396,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
397,6,6,6,1,1,6,6,96,6,6,6,96,96,2,2
398,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
399,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
400,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
401,2,2,2,3,3,3,3,3,2,3,3,4,3,3,3
402,1,1,2,2,2,2,1,2,2,3,1,4,4,3,3
403,2,2,4,2,1,2,2,2,4,2,2,5,3,2,4
404,3,2,4,1,1,6,3,1,2,5,2,1,4,2,2
405,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
406,2,1,1,2,2,2,2,2,2,1,1,3,3,2,4
407,6,6,6,3,1,6,6,96,6,6,6,96,96,3,2
408,2,2,2,2,2,2,4,4,4,3,3,2,2,2,2
409,4,4,5,4,4,2,1,3,4,5,3,4,5,3,3
410,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
411,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
412,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
413,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
414,6,6,6,1,1,6,6,96,6,6,6,96,96,5,3
415,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
416,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
417,2,1,2,2,1,3,3,2,3,2,1,4,3,3,2
418,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
419,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
420,2,1,2,2,1,6,3,2,2,1,2,4,4,3,2
421,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
422,1,2,2,2,2,1,1,1,2,2,2,4,4,3,2
423,1,2,2,2,1,2,2,2,2,2,2,5,5,5,2
424,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
425,2,2,2,3,3,6,4,3,3,5,3,5,5,3,2
426,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
427,2,4,4,3,3,2,2,4,2,2,1,4,4,4,3
428,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
429,1,1,3,1,2,1,2,99,2,2,2,5,5,4,1
430,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
431,2,3,3,1,2,3,3,6,4,2,3,1,3,3,5
432,2,2,2,3,3,2,2,2,2,2,2,5,5,4,3
433,1,2,1,2,2,2,1,2,2,1,3,2,2,2,2
434,2,2,2,2,3,2,2,1,4,1,2,5,4,3,2
